dataset,index_type,repeats,insert_throughput_mops_avg,read_throughput_mops_avg,memory_gib,throughput_min_insert,throughput_max_insert,throughput_std_insert,throughput_min_read,throughput_max_read,throughput_std_read,memory_bytes
linear,art,3,2.266689,2.670653,4.482041,2223368.000000,2328302.000000,54806.498970,2569435.000000,2733313.000000,88481.640391,4812554520.000000
linear,alex,3,2.548375,7.285413,3.814062,2538305.000000,2557965.000000,9838.785494,7204250.000000,7327923.000000,70315.670650,4095318376.000000
linear,lipp,3,8.990504,10.925122,2.980273,8938156.000000,9057811.000000,61213.916378,10852750.000000,11003220.000000,75398.246213,3200044168.000000
linear,alex-256slot,3,0.841636,1.144322,4.658745,837744.000000,845447.000000,3852.128286,1129607.000000,1152764.000000,12789.381781,5002289104.000000
linear,lipp-256slot,3,0.565866,1.596145,19.146737,565293.000000,566178.000000,496.624942,1548982.000000,1635736.000000,43869.956569,20558652800.000000
covid,art,3,1.515626,1.771902,7.828843,1493543.000000,1533108.000000,20179.911009,1761082.000000,1783318.000000,11129.947903,8406155724.000000
covid,alex,3,1.753775,4.796352,3.830317,1742991.000000,1760346.000000,9413.567142,4648932.000000,4886395.000000,128709.758031,4112771952.000000
covid,lipp,3,2.292914,2.916296,16.771609,2284868.000000,2305112.000000,10741.704334,2912199.000000,2919511.000000,3735.058411,18008377834.000000
covid,alex-256slot,3,0.795926,1.164107,4.649113,792852.000000,798350.000000,2806.042765,1162041.000000,1167716.000000,3136.160126,4991947496.000000
covid,lipp-256slot,3,0.453838,1.117692,28.952334,446225.000000,457703.000000,6593.026720,1093623.000000,1130802.000000,20872.355649,31087332110.000000
fb-1,art,3,1.157122,0.978562,9.793601,1155375.000000,1158351.000000,1554.318286,977075.000000,980878.000000,2032.315018,10515798544.000000
fb-1,alex,3,0.719064,1.183010,4.426132,718358.000000,719888.000000,771.719077,1180702.000000,1185130.000000,2219.936110,4752522648.000000
fb-1,lipp,3,1.060812,1.914789,19.521015,1058970.000000,1062801.000000,1919.687561,1910194.000000,1920028.000000,4948.594279,20960529840.000000
fb-1,alex-256slot,3,0.518376,0.674808,4.968106,515868.000000,521051.000000,2595.500401,672241.000000,676527.000000,2265.155477,5334462992.000000
fb-1,lipp-256slot,3,0.463320,1.148503,23.384380,461922.000000,464437.000000,1280.830590,1141334.000000,1161367.000000,11164.902194,25108786850.000000
osm,art,3,1.385856,1.561277,9.518080,1285222.000000,1485477.000000,100131.338103,1378659.000000,1781147.000000,203813.471498,10219960820.000000
osm,alex,3,0.901944,1.835636,4.266770,889660.000000,914082.000000,12211.648633,1757513.000000,1898649.000000,71771.001797,4581409776.000000
osm,lipp,3,1.021534,2.010146,23.649315,992892.000000,1074531.000000,45946.774631,1936378.000000,2068108.000000,67272.477718,25393258748.000000
osm,alex-256slot,3,0.658506,0.970162,4.699562,656634.000000,660538.000000,1956.871057,969877.000000,970543.000000,343.082109,5046116536.000000
osm,lipp-256slot,3,0.560198,1.243846,24.279070,554265.000000,563260.000000,5138.736842,1160307.000000,1299935.000000,73750.399802,26069453278.000000
